City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,manavalakurichi,8.1333,77.3,298.5,81,37,4.29,IN,1679960024
85,usoke,-5.1667,32.35,291.11,96,100,1.69,TZ,1679960024
86,mana,5.6592,-53.7767,298.29,81,19,4.18,GF,1679960025
87,canutama,-6.5339,-64.3831,295.73,98,94,0.96,BR,1679960025
88,monte alegre,-2.0078,-54.0692,296.04,97,100,0.9,BR,1679960026
89,ouesso,1.6136,16.0517,295.36,85,68,0.94,CG,1679960027
90,liwale,-9.7667,37.9333,293.92,99,100,0.75,TZ,1679960027
91,matara,5.9485,80.5353,298.21,89,33,1.2,LK,1679960028
92,boende,-0.2167,20.8667,294.78,98,100,0.9,CD,1679960028
93,parrita,9.5201,-84.3225,300.13,77,16,1.15,CR,1679960028
94,pocinhos,-7.0767,-36.0611,296.31,88,30,4.21,BR,1679960029
95,cabedelo,-6.9811,-34.8339,299.52,76,100,4.42,BR,1679960029
96,paoua,7.2427,16.4406,297.4,36,75,1.81,CF,1679960030
97,bertoua,4.5833,13.6833,294.5,83,88,1.45,CM,1679960030
98,esmeraldas,-19.7625,-44.3139,300.63,69,59,2.19,BR,1679960031
99,tibati,6.4667,12.6333,299.01,35,100,1.27,CM,1679960031
100,cayenne,4.9333,-52.3333,298.17,88,40,2.57,GF,1679959808
101,mabaruma,8.2,-59.7833,295.3,93,21,1.6,GY,1679960032
102,mankono,8.0586,-6.1897,296.87,84,97,2.12,CI,1679960033
103,wattegama,6.7989,81.4808,295.39,91,69,0.4,LK,1679960033
104,betare oya,5.6,14.0833,296.82,50,84,0.78,CM,1679960034
105,saint-georges,12.0564,-61.7485,297.97,88,40,5.66,GD,1679959885
106,mahibadhoo,3.7833,72.9667,300.99,75,14,3.75,MV,1679960035
107,talara,-4.5772,-81.2719,301.57,78,100,1.54,PE,1679960035
108,taua,-5.9667,-40.3,295.41,89,61,1.34,BR,1679960036
109,alta floresta,-9.8756,-56.0861,296.2,93,98,0.3,BR,1679959664
110,nicoya,10.1483,-85.452,302.18,56,74,3.99,CR,1679959876
111,ares,-6.1944,-35.1603,299.2,82,75,3.21,BR,1679960037
112,kaputa,-8.4689,29.6619,292.76,87,100,0.85,ZM,1679960038
113,malabo,3.75,8.7833,299.07,94,40,1.03,GQ,1679960038
114,cajazeiras,-6.8903,-38.5553,298.19,65,49,2.25,BR,1679960039
115,akom,2.6678,12.7109,292.61,92,95,0.82,CM,1679960039
116,hoima,1.4356,31.3436,290.98,91,81,0.35,UG,1679960039
117,areia branca,-4.9561,-37.1369,299.81,79,49,6.05,BR,1679960040
118,santa maria da boa vista,-8.8078,-39.8256,299.24,60,85,1.49,BR,1679960040
119,gamba,-2.65,10.0,298.85,86,100,1.66,GA,1679960041
120,santa cruz,-17.8,-63.1667,299.18,78,40,3.6,BO,1679959952
121,banda aceh,5.5577,95.3222,299.2,85,86,3.32,ID,1679959595
122,nedjo,9.5046,35.5019,288.49,35,47,1.71,ET,1679960042
123,wum,6.3833,10.0667,294.01,74,79,1.53,CM,1679960042
124,boa vista,2.8197,-60.6733,303.14,51,0,3.6,BR,1679959807
125,mayumba,-3.432,10.6554,299.09,83,100,1.5,GA,1679960044
126,guasdualito,7.2424,-70.7324,306.15,43,99,1.54,VE,1679960045
127,itarema,-2.9248,-39.9167,297.96,86,39,1.9,BR,1679960046
128,mangai,-4.05,19.5333,293.12,99,95,0.73,CD,1679960047
129,upata,8.0086,-62.3989,299.37,56,73,3.76,VE,1679960048
130,acarau,-2.8856,-40.12,298.34,85,50,2.27,BR,1679960049
131,natal,-5.795,-35.2094,299.27,83,40,3.6,BR,1679960014
132,sao gabriel da cachoeira,-0.1303,-67.0892,296.46,97,100,0.54,BR,1679960050
133,la macarena,2.1837,-73.7849,297.37,81,85,0.43,CO,1679960050
134,sao raimundo das mangabeiras,-7.0219,-45.4811,296.39,92,67,0.83,BR,1679960051
135,okitipupa,6.5047,4.7839,297.0,90,79,1.2,NG,1679960052
136,kudahuvadhoo,2.6708,72.8944,300.93,78,26,3.77,MV,1679960052
137,kalmunai,7.4167,81.8167,297.59,81,70,1.63,LK,1679960053
138,soyo,-6.1349,12.3689,299.37,82,100,1.44,AO,1679960054
139,mlimba,-8.8,35.8167,295.17,97,100,0.77,TZ,1679960054
140,puyo,-1.4667,-77.9833,294.73,94,75,1.03,EC,1679960055
141,nieuw amsterdam,5.8833,-55.0833,300.16,78,20,1.03,SR,1679960056
142,salinopolis,-0.6136,-47.3561,298.63,85,90,3.24,BR,1679960056
143,paita,-5.0892,-81.1144,300.41,72,89,3.88,PE,1679960057
144,suarez,2.954,-76.6964,293.5,95,100,0.87,CO,1679960058
145,acara,-1.9608,-48.1967,296.37,98,100,0.95,BR,1679960058
146,msanga,-6.05,36.0333,291.95,94,95,1.1,TZ,1679960059
147,macas,-2.3167,-78.1167,296.01,78,40,2.57,EC,1679960060
148,santa luzia,-19.7697,-43.8514,300.65,61,0,4.12,BR,1679960061
149,wageningen,51.9667,5.6667,275.43,91,6,1.54,NL,1679960061
150,lubao,14.9167,120.55,299.99,72,47,2.25,PH,1679959678
